"Cost" "g" "TR_NRMSE" "VA_NRMSE"
"1" 0.01 0.25 0.991711400974544 1.05273203701732
"2" 0.01 0.5 0.998401989338833 1.0592156775134
"3" 0.01 1 0.999466134572544 1.06017204976339
"4" 0.01 2 0.999539412969654 1.06024379496681
"5" 0.01 4 0.999538781597151 1.06024394419521
"6" 0.01 8 0.999538642742201 1.06024389975705
"7" 0.1 0.25 0.861200662149797 0.995014184101236
"8" 0.1 0.5 0.914276819211123 1.04798223961051
"9" 0.1 1 0.924373543405976 1.05742718843108
"10" 0.1 2 0.925034200097461 1.05808950749865
"11" 0.1 4 0.925032292677015 1.05809947267922
"12" 0.1 8 0.925031380111923 1.05809915580485
"13" 1 0.25 0.246908451697963 0.808746347583894
"14" 1 0.5 0.291989162480469 0.968084366727219
"15" 1 1 0.330550809390595 1.03118687443257
"16" 1 2 0.335098799156595 1.03643809375976
"17" 1 4 0.335218328509876 1.03650799218564
"18" 1 8 0.335221050609417 1.03650639467681
"19" 10 0.25 0.0961229656669353 0.800675997284598
"20" 10 0.5 0.0980533677141217 0.952376270449083
"21" 10 1 0.0986178766555947 1.02230480428178
"22" 10 2 0.0985959283349566 1.02891162859763
"23" 10 4 0.0985937835739378 1.02898973694281
"24" 10 8 0.0985898771862228 1.02898716518585
"25" 100 0.25 0.0961229656669353 0.800675997284598
"26" 100 0.5 0.0980533677141217 0.952376270449083
"27" 100 1 0.0986178766555947 1.02230480428178
"28" 100 2 0.0985959283349566 1.02891162859763
"29" 100 4 0.0985937835739378 1.02898973694281
"30" 100 8 0.0985898771862228 1.02898716518585
"31" 1000 0.25 0.0961229656669353 0.800675997284598
"32" 1000 0.5 0.0980533677141217 0.952376270449083
"33" 1000 1 0.0986178766555947 1.02230480428178
"34" 1000 2 0.0985959283349566 1.02891162859763
"35" 1000 4 0.0985937835739378 1.02898973694281
"36" 1000 8 0.0985898771862228 1.02898716518585
