	"Overall"		"var"	   "Variables"	"Resample"
"233"	9.0935302107707		"Nhits_career"	6	"Fold001"
"234"	8.72064399035246	"Nputouts"	6	"Fold001"
"235"	8.64336068979668	"Nbat_career"	6	"Fold001"
"236"	8.46182495746016	"Nwalks"	6	"Fold001"
"237"	7.19225322634521	"Nruns_career"	6	"Fold001"
"238"	7.17504606871433	"Nhits"		6	"Fold001"

"486"	10.1983688186628	"Nputouts"	6	"Fold002"
"487"	9.63787032072622	"Nwalks"	6	"Fold002"
"488"	9.32640299119987	"Nhits"		6	"Fold002"
"489"	8.62586690486112	"Nbat_career"	6	"Fold002"
"490"	7.63553770005079	"Nwalks_career"	6	"Fold002"
"491"	7.5775816382193		"Nruns_career"	6	"Fold002"

"739"	11.2011968693384	"Nputouts"	6	"Fold003"
"740"	8.87870110831962	"Nruns_career"	6	"Fold003"
"741"	8.8098861990988		"Nwalks"	6	"Fold003"
"742"	8.68652900627088	"Nhits"		6	"Fold003"
"743"	8.6111611475888		"Nhits_career"	6	"Fold003"
"744"	7.30006140383274	"Nbat_career"	6	"Fold003"

"992"	10.9901094532874	"Nputouts"	6	"Fold004"
"993"	9.31720723469156	"Nhits"		6	"Fold004"
"994"	8.01689469282924	"Nrunsbatted"	6	"Fold004"
"995"	7.89539381497202	"Nhits_career"	6	"Fold004"
"996"	7.75489889661263	"Nwalks"	6	"Fold004"
"997"	7.51170687181393	"Nruns_career"	6	"Fold004"

"1245"	11.7871579331526	"Nputouts"	6	"Fold005"
"1246"	10.7411436142659	"Nhits"		6	"Fold005"
"1247"	9.97213571789949	"Nwalks"	6	"Fold005"
"1248"	8.17018530435339	"Nhits_career"	6	"Fold005"
"1249"	7.31529333007286	"Nruns_career"	6	"Fold005"
"1250"	7.128013432496		"Nbat_career"	6	"Fold005"

"1498"	11.1226009434607	"Nputouts"	6	"Fold006"
"1499"	8.96277189564723	"Nwalks"	6	"Fold006"
"1500"	7.37454168143296	"Nbat_career"	6	"Fold006"
"1501"	7.20162105749657	"Nhits"		6	"Fold006"
"1502"	6.7430625477212		"Nhits_career"	6	"Fold006"
"1503"	6.67772000657572	"Nruns_career"	6	"Fold006"

"1751"	10.1463568375115	"Nputouts"	6	"Fold007"
"1752"	9.00953877117938	"Nbat_career"	6	"Fold007"
"1753"	8.48001146107024	"Nhits"		6	"Fold007"
"1754"	7.43546182859248	"Nwalks"	6	"Fold007"
"1755"	7.28882032425214	"Nhits_career"	6	"Fold007"
"1756"	7.14700442007935	"Nbat"		6	"Fold007"

"2004"	9.9537352918584		"Nwalks"	6	"Fold008"
"2005"	9.59818569194436	"Nputouts"	6	"Fold008"
"2006"	9.09406578405017	"Nhits"		6	"Fold008"
"2007"	8.46862413632037	"Nhits_career"	6	"Fold008"
"2008"	8.10552783790298	"Nruns_career"	6	"Fold008"
"2009"	7.51583618865672	"Nrunsbatted"	6	"Fold008"

"2257"	10.9514495210757	"Nputouts"	6	"Fold009"
"2258"	9.5513150254739		"Nwalks"	6	"Fold009"
"2259"	8.74988556858895	"Nbat_career"	6	"Fold009"
"2260"	7.47969457063053	"Nhits"		6	"Fold009"
"2261"	6.36490658202723	"Nbat"		6	"Fold009"
"2262"	6.29558842892627	"Nruns_career"	6	"Fold009"

"2510"	10.6752137810832	"Nputouts"	6	"Fold010"
"2511"	10.1040285871379	"Nwalks"	6	"Fold010"
"2512"	8.85376151644484	"Nhits"		6	"Fold010"
"2513"	8.62118616057215	"Nrunsbatted"	6	"Fold010"
"2514"	7.93110875742143	"Nbat_career"	6	"Fold010"
"2515"	7.56351844079415	"Nhits_career"	6	"Fold010"

"2763"	11.3052344801445	"Nputouts"	6	"Fold011"
"2764"	10.1637317591987	"Nruns_career"	6	"Fold011"
"2765"	9.62683436086172	"Nbat_career"	6	"Fold011"
"2766"	9.41687536769165	"Nhits"		6	"Fold011"
"2767"	8.78508648216009	"Nhits_career"	6	"Fold011"
"2768"	8.36626807161259	"Nwalks"	6	"Fold011"

"3016"	11.0106277271288	"Nputouts"	6	"Fold012"
"3017"	9.72326301726854	"Nhits"		6	"Fold012"
"3018"	9.30633126943169	"Nwalks"	6	"Fold012"
"3019"	8.7517758560284		"Nbat_career"	6	"Fold012"
"3020"	7.43563105194578	"Nruns_career"	6	"Fold012"
"3021"	6.97652608268721	"Nhits_career"	6	"Fold012"

"3269"	11.5123141133489	"Nputouts"	6	"Fold013"
"3270"	10.0821840846127	"Nhits"		6	"Fold013"
"3271"	9.95588542475707	"Nwalks"	6	"Fold013"
"3272"	9.19935131428415	"Nbat_career"	6	"Fold013"
"3273"	7.29895309671909	"Nrunsbatted"	6	"Fold013"
"3274"	6.89417033104399	"Nruns_career"	6	"Fold013"

"3522"	10.7762422217614	"Nputouts"	6	"Fold014"
"3523"	9.98567215027929	"Nhits"		6	"Fold014"
"3524"	8.67197796346041	"Nwalks"	6	"Fold014"
"3525"	8.5006492919134		"Nhits_career"	6	"Fold014"
"3526"	7.32369741577628	"Nbat_career"	6	"Fold014"
"3527"	6.79719514779634	"Nruns_career"	6	"Fold014"

"3775"	11.6892123955078	"Nputouts"	6	"Fold015"
"3776"	10.886887392289		"Nhits"		6	"Fold015"
"3777"	9.51614930957824	"Nwalks"	6	"Fold015"
"3778"	9.21369888427336	"Nbat_career"	6	"Fold015"
"3779"	8.61503699643345	"Nhits_career"	6	"Fold015"
"3780"	7.05174675539938	"Nrunsbatted_career"	6	"Fold015"

"4028"	10.4449675218305	"Nputouts"	6	"Fold016"
"4029"	9.19213898762752	"Nwalks"	6	"Fold016"
"4030"	8.67529549687525	"Nhits"		6	"Fold016"
"4031"	7.47466495522944	"Nrunsbatted"	6	"Fold016"
"4032"	6.64171989101504	"Nbat_career"	6	"Fold016"
"4033"	6.35576995780624	"Nhits_career"	6	"Fold016"

"4281"	10.8098947887674	"Nputouts"	6	"Fold017"
"4282"	9.57953578930534	"Nhits"		6	"Fold017"
"4283"	9.3569297714535		"Nwalks"	6	"Fold017"
"4284"	8.65619815541829	"Nrunsbatted"	6	"Fold017"
"4285"	8.53980965284494	"Nbat_career"	6	"Fold017"
"4286"	6.7043532539697		"Nwalks_career"	6	"Fold017"

"4534"	9.63702291097852	"Nwalks"	6	"Fold018"
"4535"	8.97149824951805	"Nhits"		6	"Fold018"
"4536"	8.44103727170209	"Nrunsbatted"	6	"Fold018"
"4537"	7.88982472958507	"Nhits_career"	6	"Fold018"
"4538"	7.79393720918813	"Nbat_career"	6	"Fold018"
"4539"	7.70987831842906	"Nputouts"	6	"Fold018"

"4787"	10.3216665187533	"Nputouts"	6	"Fold019"
"4788"	9.07990677802791	"Nbat_career"	6	"Fold019"
"4789"	8.40475506844019	"Nhits"		6	"Fold019"
"4790"	7.73650767271199	"Nrunsbatted"	6	"Fold019"
"4791"	7.57705581588732	"Nhits_career"	6	"Fold019"
"4792"	6.92724006673889	"Nwalks"	6	"Fold019"

"5040"	11.7229750489208	"Nputouts"	6	"Fold020"
"5041"	9.94304019193746	"Nhits"		6	"Fold020"
"5042"	9.47555544064548	"Nbat_career"	6	"Fold020"
"5043"	8.45004133326628	"Nhits_career"	6	"Fold020"
"5044"	8.27634215898165	"Nwalks"	6	"Fold020"
"5045"	7.59332813666667	"team_at_the_end"	6	"Fold020"

"5293"	9.13433965577805	"Nputouts"	6	"Fold021"
"5294"	8.95478531492447	"Nhits"		6	"Fold021"
"5295"	7.73041142649006	"Nbat_career"	6	"Fold021"
"5296"	7.16345409786339	"Nwalks"	6	"Fold021"
"5297"	7.09580354391413	"Nrunsbatted"	6	"Fold021"
"5298"	7.08076471448914	"Nhits_career"	6	"Fold021"

"5546"	10.2629220487425	"Nputouts"	6	"Fold022"
"5547"	9.28708887589501	"Nwalks"	6	"Fold022"
"5548"	8.30643340890249	"Nhits"		6	"Fold022"
"5549"	8.17145470832505	"Nbat_career"	6	"Fold022"
"5550"	7.76096920338235	"Nhits_career"	6	"Fold022"
"5551"	6.05974462809811	"Nrunsbatted"	6	"Fold022"

"5799"	10.0227634194876	"Nputouts"	6	"Fold023"
"5800"	8.36292842947217	"Nhits"		6	"Fold023"
"5801"	8.29990505708124	"Nwalks"	6	"Fold023"
"5802"	7.06531074158964	"Nruns_career"	6	"Fold023"
"5803"	6.81772002923059	"Nrunsbatted"	6	"Fold023"
"5804"	6.77816031091707	"Nhits_career"	6	"Fold023"

"6052"	8.71195484815368	"Nwalks"	6	"Fold024"
"6053"	8.61774530693937	"Nhits"		6	"Fold024"
"6054"	8.21240576337848	"Nputouts"	6	"Fold024"
"6055"	7.97195996106439	"Nruns_career"	6	"Fold024"
"6056"	7.69589876686629	"Nbat_career"	6	"Fold024"
"6057"	6.94913987020976	"Nrunsbatted"	6	"Fold024"

"6305"	9.94518639806622	"Nputouts"	6	"Fold025"
"6306"	9.64263479118069	"Nhits"		6	"Fold025"
"6307"	9.39616055715587	"Nrunsbatted"	6	"Fold025"
"6308"	8.76708703478365	"Nwalks"	6	"Fold025"
"6309"	7.53960425848356	"Nbat_career"	6	"Fold025"
"6310"	7.52744479526954	"Nhits_career"	6	"Fold025"

"6558"	10.6194732314015	"Nputouts"	6	"Fold026"
"6559"	9.06843734535342	"Nhits"		6	"Fold026"
"6560"	8.36328466141081	"Nbat_career"	6	"Fold026"
"6561"	7.22524483881171	"Nhits_career"	6	"Fold026"
"6562"	7.12465310995388	"Nwalks"	6	"Fold026"
"6563"	7.04620592571381	"Nrunsbatted"	6	"Fold026"

"6811"	11.2469935845345	"Nputouts"	6	"Fold027"
"6812"	10.478199648535		"Nhits"		6	"Fold027"
"6813"	9.85374933973229	"Nbat_career"	6	"Fold027"
"6814"	9.19776678775467	"Nwalks"	6	"Fold027"
"6815"	8.20286102840053	"Nrunsbatted"	6	"Fold027"
"6816"	8.15766917488868	"Nhits_career"	6	"Fold027"

"7064"	10.3956065593893	"Nputouts"	6	"Fold028"
"7065"	9.71362639765031	"Nwalks"	6	"Fold028"
"7066"	9.20167216975026	"Nhits"		6	"Fold028"
"7067"	8.76799215648609	"Nbat_career"	6	"Fold028"
"7068"	8.31000068714511	"Nhits_career"	6	"Fold028"
"7069"	7.27279499090442	"Nrunsbatted"	6	"Fold028"

"7317"	11.1736993632101	"Nputouts"	6	"Fold029"
"7318"	9.87447519622062	"Nhits"		6	"Fold029"
"7319"	9.2247019222558		"Nwalks"	6	"Fold029"
"7320"	8.08078225640861	"Nbat_career"	6	"Fold029"
"7321"	7.7637360052876		"Nhits_career"	6	"Fold029"
"7322"	7.28994576684086	"Nrunsbatted"	6	"Fold029"

"7570"	10.8981176502831	"Nputouts"	6	"Fold030"
"7571"	10.8577024645273	"Nhits"		6	"Fold030"
"7572"	9.94853376401802	"Nbat_career"	6	"Fold030"
"7573"	9.29100415326691	"Nwalks"	6	"Fold030"
"7574"	7.72279277314764	"Nwalks_career"	6	"Fold030"
"7575"	7.15894518178793	"Nrunsbatted"	6	"Fold030"

"7823"	10.729932299631		"Nputouts"	6	"Fold031"
"7824"	9.48559410843585	"Nhits_career"	6	"Fold031"
"7825"	8.34919059081773	"Nhits"		6	"Fold031"
"7826"	8.13957921391546	"Nwalks"	6	"Fold031"
"7827"	8.12853505813431	"Nbat_career"	6	"Fold031"
"7828"	7.20574455697354	"Nrunsbatted"	6	"Fold031"

"8076"	9.03740055429426	"Nhits"		6	"Fold032"
"8077"	8.83204112464127	"Nhits_career"	6	"Fold032"
"8078"	8.35634382707216	"Nwalks"	6	"Fold032"
"8079"	7.99550228264086	"Nbat_career"	6	"Fold032"
"8080"	7.37902707181667	"Nrunsbatted"	6	"Fold032"
"8081"	6.89462298683558	"Nputouts"	6	"Fold032"

"8329"	10.2496818431493	"Nputouts"	6	"Fold033"
"8330"	9.41026517270112	"Nhits"		6	"Fold033"
"8331"	9.24219874573992	"Nwalks"	6	"Fold033"
"8332"	8.66983327555922	"Nbat_career"	6	"Fold033"
"8333"	7.78060294420564	"Nhits_career"	6	"Fold033"
"8334"	7.46712958269553	"Nruns_career"	6	"Fold033"

"8582"	12.5049998899927	"Nputouts"	6	"Fold034"
"8583"	10.3958597936144	"Nwalks"	6	"Fold034"
"8584"	9.35314274997724	"Nhits"		6	"Fold034"
"8585"	8.1636221214453		"Nbat_career"	6	"Fold034"
"8586"	7.63118011065551	"Nrunsbatted"	6	"Fold034"
"8587"	7.17296739752869	"Nhits_career"	6	"Fold034"

"8835"	9.42792561971066	"Nputouts"	6	"Fold035"
"8836"	9.27289863353992	"Nhits"		6	"Fold035"
"8837"	8.60190673450215	"Nwalks"	6	"Fold035"
"8838"	8.32875473326388	"Nbat_career"	6	"Fold035"
"8839"	8.09761330227382	"Nhits_career"	6	"Fold035"
"8840"	7.62738734750856	"Nruns_career"	6	"Fold035"

"9088"	10.4103561614643	"Nputouts"	6	"Fold036"
"9089"	9.35909486139263	"Nbat_career"	6	"Fold036"
"9090"	9.29096628133581	"Nwalks"	6	"Fold036"
"9091"	8.90370164009427	"Nhits"		6	"Fold036"
"9092"	7.21410020544391	"Nhits_career"	6	"Fold036"
"9093"	7.01614829192645	"Nwalks_career"	6	"Fold036"

"9341"	12.2467244152057	"Nputouts"	6	"Fold037"
"9342"	10.5734297535783	"Nhits"		6	"Fold037"
"9343"	9.63300505530607	"Nrunsbatted"	6	"Fold037"
"9344"	8.33535865565517	"Nwalks"	6	"Fold037"
"9345"	8.07743170223107	"Nbat_career"	6	"Fold037"
"9346"	7.68917614829593	"Nruns_career"	6	"Fold037"

"9594"	10.7962995170645	"Nputouts"	6	"Fold038"
"9595"	9.42653526938078	"Nwalks"	6	"Fold038"
"9596"	8.66895152062005	"Nbat_career"	6	"Fold038"
"9597"	8.03539628879408	"Nrunsbatted"	6	"Fold038"
"9598"	7.74814318982324	"Nhits"		6	"Fold038"
"9599"	6.87952809976305	"Nwalks_career"	6	"Fold038"

"9847"	10.052371502397		"Nhits"		6	"Fold039"
